Accession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
MH507901;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;13-08-2004;0;35.3;20.6
MH507902;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;13-08-2004;0;35.3;20.6
OQ721429;USA;USA: Kern, California;USA;CA;;;tissue;23-08-2004;0;36.8;14.7
DQ874464;USA;USA: Illinois, Fayette;USA;IL;Cyanocitta cristata;Bird;;24-08-2004;4.33;21.4;9.9
OQ721178;USA;USA: Sacramento, California;USA;CA;;;tissue;26-08-2004;0;33.6;15.7
DQ874465;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;27-08-2004;4.33;21.4;9.9
OQ721296;USA;USA: Sacramento, California;USA;CA;;;tissue;30-08-2004;0;33.6;15.7
DQ874466;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;02-09-2004;0.48;21;10.3
OQ721539;USA;USA: Sacramento, California;USA;CA;;;tissue;07-09-2004;0.48;31.4;13.6
OQ721319;USA;USA: Kern, California;USA;CA;Euphagus cyanocephalus;Bird;tissue;08-09-2004;0;33.6;11.7
DQ874468;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;17-09-2004;0.48;21;10.3
OQ721119;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;17-09-2004;0.48;31.4;13.6
MH507903;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;21-09-2004;0;32.5;16.9
MH507904;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;23-09-2004;0;32.5;16.9
DQ874469;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;24-09-2004;0.48;21;10.3
OQ721155;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;08-10-2004;2.85;23.5;10.5
OQ721617;USA;USA: Kern, California;USA;CA;Turdus migratorius;Bird;tissue;16-06-2005;0;30.5;10.9
DQ874402;USA;USA: Illinois, Lee;USA;IL;Corvus brachyrhynchos;Bird;;17-06-2005;0.79;22.2;12.1
DQ874403;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;18-06-2005;0.79;22.2;12.1
MH507905;USA;USA: Bakersfield,California;USA;CA;Culex tarsalis;Culicidae;pooled insects;21-06-2005;0;30.7;15.7
OQ721123;USA;USA: Kern, California;USA;CA;;;tissue;24-06-2005;0;30.5;10.9
OQ721397;USA;USA: Kern, California;USA;CA;Passeridae;Bird;tissue;27-06-2005;0;30.5;10.9
OQ721380;USA;USA: Kern, California;USA;CA;;;tissue;30-06-2005;0;30.5;10.9
MH507906;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;01-07-2005;0;38.4;23.3
MH507907;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;01-07-2005;0;38.4;23.3
MH507908;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;01-07-2005;0;38.4;23.3
MH507909;USA;USA: Bakersfield,California;USA;CA;Culex tarsalis;Culicidae;pooled insects;06-07-2005;0;38.4;23.3
MH507910;USA;USA: Bakersfield,California;USA;CA;Culex tarsalis;Culicidae;pooled insects;06-07-2005;0;38.4;23.3
OQ721232;USA;USA: Sacramento, California;USA;CA;;;tissue;06-07-2005;0;36.3;17.2
DQ874404;USA;USA: Illinois, Rock Island;USA;IL;Corvus brachyrhynchos;Bird;;07-07-2005;2.26;24.7;15
OQ721683;USA;USA: Kern, California;USA;CA;;;tissue;10-07-2005;0;38.8;17.8
DQ874405;USA;USA: Illinois, Dupage;USA;IL;Corvus brachyrhynchos;Bird;;12-07-2005;2.26;24.7;15
DQ874407;USA;USA: Illinois, Kane;USA;IL;Corvus brachyrhynchos;Bird;;12-07-2005;2.26;24.7;15
OQ721643;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;12-07-2005;0;36.3;17.2
OQ721693;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;12-07-2005;0;36.3;17.2
DQ874406;USA;USA: Illinois, Saintclair;USA;IL;Corvus brachyrhynchos;Bird;;13-07-2005;2.26;24.7;15
OQ721540;USA;USA: Kern, California;USA;CA;;;tissue;13-07-2005;0;38.8;17.8
MH507912;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;14-07-2005;0;38.4;23.3
MH507913;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;14-07-2005;0;38.4;23.3
MH507914;USA;USA: Bakersfield,California;USA;CA;Culex quinquefasciatus;Culicidae;pooled insects;14-07-2005;0;38.4;23.3
OQ721435;USA;USA: Kern, California;USA;CA;;;tissue;15-07-2005;0;38.8;17.8
KX547523;USA;USA: Albany Co., NY;USA;NY;Corvus brachyrhynchos;Bird;;16-07-2005;5.24;27.8;16.8
DQ874408;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;18-07-2005;2.26;24.7;15
DQ874409;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;18-07-2005;2.26;24.7;15
MH507915;USA;USA: Bakersfield,California;USA;CA;Culex tarsalis;Culicidae;pooled insects;19-07-2005;0;38.4;23.3
DQ874410;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;20-07-2005;2.26;24.7;15
EF631041;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631042;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631043;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631128;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631129;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631132;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631133;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631134;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
EF631135;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-07-2005;2.26;24.7;15
OQ721295;USA;USA: Sacramento, California;USA;CA;Mimus polyglottos;Bird;tissue;21-07-2005;0;36.3;17.2
OQ721798;USA;USA: Sacramento, California;USA;CA;;;tissue;21-07-2005;0;36.3;17.2
OQ721651;USA;USA: Sacramento, California;USA;CA;;;tissue;24-07-2005;0;36.3;17.2
OQ721560;USA;USA: Sacramento, California;USA;CA;;;tissue;25-07-2005;0;36.3;17.2
EF631045;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631046;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631047;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631048;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631083;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631084;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631085;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631086;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631088;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631089;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631090;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631091;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631092;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631094;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
EF631096;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;26-07-2005;2.26;24.7;15
OQ721479;USA;USA: Kern, California;USA;CA;Passer domesticus;Bird;tissue;26-07-2005;0;38.8;17.8
EF631060;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631061;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631062;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631064;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631066;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631068;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631071;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631072;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631074;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631075;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631077;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631078;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631079;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631080;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2005;2.26;24.7;15
EF631153;USA;USA: Illinois, Cook County;USA;IL;Haemorhous mexicanus;Bird;;28-07-2005;2.26;24.7;15
OQ721525;USA;USA: Sacramento, California;USA;CA;;;tissue;28-07-2005;0;36.3;17.2
OQ721647;USA;USA: Kern, California;USA;CA;;;tissue;28-07-2005;0;38.8;17.8
DQ874413;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;29-07-2005;2.26;24.7;15
EF631097;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;29-07-2005;2.26;24.7;15
EF631101;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;29-07-2005;2.26;24.7;15
EF631151;USA;USA: Illinois, Cook County;USA;IL;Culex restuans;Culicidae;;29-07-2005;2.26;24.7;15
OQ721831;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;30-07-2005;0;36.3;17.2
DQ874411;USA;USA: Illinois, Kendall;USA;IL;Cyanocitta cristata;Bird;;31-07-2005;2.26;24.7;15
DQ874412;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;01-08-2005;2.19;29.1;17.4
EF631130;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-08-2005;2.19;29.1;17.4
EF631131;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-08-2005;2.19;29.1;17.4
EF631160;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;01-08-2005;2.19;29.1;17.4
EF631162;USA;USA: Illinois, Cook County;USA;IL;Colaptes auratus;Bird;;01-08-2005;2.19;29.1;17.4
EF631163;USA;USA: Illinois, Cook County;USA;IL;Colaptes auratus;Bird;;01-08-2005;2.19;29.1;17.4
OQ721503;USA;USA: Kern, California;USA;CA;Haemorhous mexicanus;Bird;tissue;01-08-2005;0.84;36.9;16.3
OQ721775;USA;USA: Sacramento, California;USA;CA;Haemorhous mexicanus;Bird;tissue;01-08-2005;0;34.9;15.7
DQ874414;USA;USA: Illinois, Cook;USA;IL;Corvus brachyrhynchos;Bird;;02-08-2005;2.19;29.1;17.4
DQ874415;USA;USA: Illinois, Winnebago;USA;IL;Corvus brachyrhynchos;Bird;;02-08-2005;2.19;29.1;17.4
DQ874416;USA;USA: Illinois, Lake;USA;IL;Corvus brachyrhynchos;Bird;;03-08-2005;2.19;29.1;17.4
EF631111;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631112;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631113;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631114;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631115;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631116;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631117;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2005;2.19;29.1;17.4
EF631156;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631157;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631158;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631159;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
KY782109;USA;USA: Illinois, West Chicago suburbs;USA;IL;Turdus migratorius;Bird;;03-08-2005;2.19;29.1;17.4
KY782110;USA;USA: Illinois, West Chicago suburbs;USA;IL;Passer domesticus;Bird;;03-08-2005;2.19;29.1;17.4
EF631103;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;04-08-2005;2.19;29.1;17.4
EF631104;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;04-08-2005;2.19;29.1;17.4
OQ721291;USA;USA: Sacramento, California;USA;CA;Culex tarsalis;Culicidae;pooled insects;05-08-2005;0;34.9;15.7
EF631125;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;08-08-2005;2.19;29.1;17.4
DQ874417;USA;USA: Illinois, Mchenry;USA;IL;Corvus brachyrhynchos;Bird;;09-08-2005;2.19;29.1;17.4
EF631065;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631067;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631069;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631070;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631076;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631081;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631082;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2005;2.19;29.1;17.4
EF631152;USA;USA: Illinois, Cook County;USA;IL;Haemorhous mexicanus;Bird;;09-08-2005;2.19;29.1;17.4
EF631154;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;09-08-2005;2.19;29.1;17.4
EF631155;USA;USA: Illinois, Cook County;USA;IL;Passer domesticus;Bird;;09-08-2005;2.19;29.1;17.4
OQ721640;USA;USA: Kern, California;USA;CA;;;tissue;09-08-2005;0.84;36.9;16.3
EF631039;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;10-08-2005;2.19;29.1;17.4
EF631098;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;10-08-2005;2.19;29.1;17.4
EF631099;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;10-08-2005;2.19;29.1;17.4
EF631029;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631030;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631032;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631033;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631034;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631136;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631137;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631138;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631140;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631141;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
EF631142;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-08-2005;2.19;29.1;17.4
OQ721325;USA;USA: Kern, California;USA;CA;;;tissue;15-08-2005;0.84;36.9;16.3
EF631063;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;16-08-2005;2.19;29.1;17.4
EF631050;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631051;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631052;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631053;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631054;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631055;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631056;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631057;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631118;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631119;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631120;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631121;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2005;2.19;29.1;17.4
EF631036;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631037;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631038;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631107;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631108;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631109;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
EF631110;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;19-08-2005;2.19;29.1;17.4
OQ721688;USA;USA: Kern, California;USA;CA;Passer domesticus;Bird;tissue;19-08-2005;0.84;36.9;16.3
DQ874421;USA;USA: Illinois, Cook;USA;IL;Sciurus carolinensis;Bird;;20-08-2005;2.19;29.1;17.4
OQ721843;USA;USA: Sacramento, California;USA;CA;Culex pipiens;Culicidae;pooled insects;20-08-2005;0;34.9;15.7
EF631040;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;22-08-2005;2.19;29.1;17.4
EF631024;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;23-08-2005;2.19;29.1;17.4
EF631025;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;23-08-2005;2.19;29.1;17.4
