Accession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
EF631150;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;07-09-2005;2.6;23.5;13.7
EF631031;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;08-09-2005;2.6;23.5;13.7
EF631073;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;13-09-2005;2.6;23.5;13.7
EF631049;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;14-09-2005;2.6;23.5;13.7
EF631106;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;15-09-2005;2.6;23.5;13.7
EF631028;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;21-09-2005;2.6;23.5;13.7
EF631100;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;22-09-2005;2.6;23.5;13.7
EF631145;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;22-09-2005;2.6;23.5;13.7
EF631127;USA;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;04-10-2005;0.98;18.1;7.2
GU386764;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;11-07-2006;2.99;23.4;14.1
GU386768;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;13-07-2006;2.99;23.4;14.1
GU386774;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-07-2006;2.99;23.4;14.1
GU386781;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;25-07-2006;2.99;23.4;14.1
GU386789;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;27-07-2006;2.99;23.4;14.1
GU386790;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;27-07-2006;2.99;23.4;14.1
GU386791;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;27-07-2006;2.99;23.4;14.1
GU386792;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;27-07-2006;2.99;23.4;14.1
GU386793;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;28-07-2006;2.99;23.4;14.1
GU386801;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;03-08-2006;4.34;22.1;13.6
GU386802;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;04-08-2006;4.34;22.1;13.6
GU386803;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;04-08-2006;4.34;22.1;13.6
GU386805;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;07-08-2006;4.34;22.1;13.6
GU386807;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2006;4.34;22.1;13.6
GU386808;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;09-08-2006;4.34;22.1;13.6
GU386809;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;10-08-2006;4.34;22.1;13.6
GU386811;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;15-08-2006;4.34;22.1;13.6
GU386813;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;15-08-2006;4.34;22.1;13.6
GU386814;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;15-08-2006;4.34;22.1;13.6
GU386818;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;17-08-2006;4.34;22.1;13.6
GU386821;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-08-2006;4.34;22.1;13.6
GU386826;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;23-08-2006;4.34;22.1;13.6
GU386828;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;25-08-2006;4.34;22.1;13.6
GU386829;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;25-08-2006;4.34;22.1;13.6
GU386830;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;30-08-2006;4.34;22.1;13.6
GU386831;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-09-2006;4.35;22.2;12.3
GU386833;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;05-09-2006;4.35;22.2;12.3
GU386834;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;06-09-2006;4.35;22.2;12.3
GU386837;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;08-09-2006;4.35;22.2;12.3
GU386843;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;18-07-2007;3.75;13.9;4.9
GU386845;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;24-07-2007;3.75;13.9;4.9
GU386851;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;01-08-2007;9.42;24.2;15
GU386855;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;02-08-2007;9.42;24.2;15
GU386860;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;08-08-2007;9.42;24.2;15
GU386869;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;15-08-2007;9.42;24.2;15
GU386872;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;16-08-2007;9.42;24.2;15
GU386878;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;29-08-2007;9.42;24.2;15
GU386879;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;29-08-2007;9.42;24.2;15
GU386881;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;05-09-2007;1.46;13.6;4.9
GU386882;Italy;USA: Illinois, Cook County;USA;IL;Culex pipiens;Culicidae;;05-09-2007;1.46;13.6;4.9
OZ201630;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;26-07-2016;3.37;29.6;17.7
OZ201631;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;26-07-2016;3.37;29.6;17.7
OZ201637;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;26-07-2016;3.37;29.6;17.7
OZ201900;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;26-07-2016;3.37;29.6;17.7
OZ200913;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;26-07-2016;3.37;29.6;17.7
OZ201621;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2016;3.37;29.6;17.7
OZ201627;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2016;3.37;29.6;17.7
OZ201632;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2016;3.37;29.6;17.7
OZ201901;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2016;3.37;29.6;17.7
OZ201912;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2016;3.37;29.6;17.7
OZ201820;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-07-2016;3.37;29.6;17.7
OZ201814;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2016;3.98;29.3;17.7
OZ201890;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2016;3.98;29.3;17.7
OZ201812;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201826;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201835;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201897;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201918;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201922;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-08-2016;3.98;29.3;17.7
OZ201623;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201626;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201640;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201690;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201696;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201698;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2016;3.98;29.3;17.7
OZ201594;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201624;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201628;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201695;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201697;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201711;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201712;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2016;3.98;29.3;17.7
OZ201709;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-08-2016;3.98;29.3;17.7
OZ201768;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-08-2016;3.98;29.3;17.7
OZ201706;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2016;3.98;29.3;17.7
OZ201366;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2016;3.98;29.3;17.7
OZ201371;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2016;3.98;29.3;17.7
OZ201713;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2016;3.98;29.3;17.7
OZ201347;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201424;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201441;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201445;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201447;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201454;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201858;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201868;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2016;3.98;29.3;17.7
OZ201339;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-08-2016;3.98;29.3;17.7
OZ201795;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-08-2016;3.98;29.3;17.7
OZ201872;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-08-2016;3.98;29.3;17.7
OZ201380;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2016;3.98;29.3;17.7
OZ201410;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2016;3.98;29.3;17.7
OZ201850;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2016;3.98;29.3;17.7
OZ201855;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2016;3.98;29.3;17.7
OZ201458;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2016;3.98;29.3;17.7
OZ201838;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2016;3.98;29.3;17.7
OZ201870;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2016;3.98;29.3;17.7
OZ201828;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2016;3.98;29.3;17.7
OZ201851;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2016;3.98;29.3;17.7
OZ201468;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;25-08-2016;3.98;29.3;17.7
OZ201857;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;25-08-2016;3.98;29.3;17.7
OZ201459;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2016;3.98;29.3;17.7
OZ201737;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2016;3.98;29.3;17.7
OZ201465;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2016;3.98;29.3;17.7
OZ201473;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2016;3.98;29.3;17.7
OZ201501;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2016;3.98;29.3;17.7
OZ201793;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2016;3.98;29.3;17.7
OZ201341;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-08-2016;3.98;29.3;17.7
OZ201462;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-08-2016;3.98;29.3;17.7
OZ201348;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;01-09-2016;2;25;13.6
OZ201478;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2016;2;25;13.6
OZ201356;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;07-09-2016;2;25;13.6
OZ201369;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;07-09-2016;2;25;13.6
OZ201451;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;07-09-2016;2;25;13.6
OZ201466;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-09-2016;2;25;13.6
OZ201476;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-09-2016;2;25;13.6
OZ201471;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2016;2;25;13.6
OZ201503;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2016;2;25;13.6
OZ201705;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2016;2;25;13.6
OZ201715;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2016;2;25;13.6
OZ201865;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2016;2;25;13.6
OZ201614;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-09-2016;2;25;13.6
OZ201622;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-09-2016;2;25;13.6
OZ201694;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-09-2016;2;25;13.6
OZ201714;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-09-2016;2;25;13.6
OZ201439;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-09-2016;2;25;13.6
OZ201720;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-09-2016;2;25;13.6
OZ201724;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-09-2016;2;25;13.6
OZ201733;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-09-2016;2;25;13.6
OZ201455;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-09-2016;2;25;13.6
OZ201730;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-09-2016;2;25;13.6
OZ201309;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2016;2;25;13.6
OZ201318;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2016;2;25;13.6
OZ201721;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2016;2;25;13.6
OZ201729;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2016;2;25;13.6
OZ201408;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-09-2016;2;25;13.6
OZ201719;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-09-2016;2;25;13.6
OZ201726;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-09-2016;2;25;13.6
OZ201382;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-09-2016;2;25;13.6
OZ201389;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-09-2016;2;25;13.6
OZ201390;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-09-2016;2;25;13.6
OZ201393;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-09-2016;2;25;13.6
OZ201600;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-09-2016;2;25;13.6
OZ201328;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-09-2016;2;25;13.6
OZ201567;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-06-2017;3.63;25.5;13.6
OZ201359;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-07-2017;4.51;27.5;16.8
OZ201360;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2017;4.51;27.5;16.8
OZ201361;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2017;4.51;27.5;16.8
OZ201568;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2017;4.51;27.5;16.8
OZ201743;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-07-2017;4.51;27.5;16.8
OZ201916;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-07-2017;4.51;27.5;16.8
OZ201759;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-07-2017;4.51;27.5;16.8
OZ201927;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2017;4.51;27.5;16.8
OZ201740;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2017;4.51;27.5;16.8
OZ201924;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-07-2017;4.51;27.5;16.8
OZ201766;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-07-2017;4.51;27.5;16.8
OZ201771;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-07-2017;4.51;27.5;16.8
OZ201923;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-07-2017;4.51;27.5;16.8
OZ201764;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;02-08-2017;2.67;26.6;15.2
OZ201781;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;02-08-2017;2.67;26.6;15.2
OZ201647;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2017;2.67;26.6;15.2
OZ201653;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2017;2.67;26.6;15.2
OZ201774;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2017;2.67;26.6;15.2
OZ201776;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-08-2017;2.67;26.6;15.2
OZ201355;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2017;2.67;26.6;15.2
OZ201333;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-08-2017;2.67;26.6;15.2
OZ201524;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-08-2017;2.67;26.6;15.2
OZ201336;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2017;2.67;26.6;15.2
OZ201335;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2017;2.67;26.6;15.2
OZ201407;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2017;2.67;26.6;15.2
OZ201491;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2017;2.67;26.6;15.2
OZ201507;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2017;2.67;26.6;15.2
OZ201395;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201396;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201411;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
