Accession;Organism_Name;GenBank_RefSeq;Assembly;Org_location;Release_Date;Isolate;Species;Length;Nuc_Completeness;Geo_Location;Country;USA;Host;Tissue_Specimen_Source;Collection_Date
PQ005955;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10932;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005956;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005957;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005958;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005959;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10932;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005960;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Culex quinquefasciatus;;2022
PQ005961;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005962;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005963;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Aphelocoma californica;;2021
PQ005964;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005965;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005966;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005967;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005968;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005969;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005970;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10924;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005971;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005972;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005973;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005974;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005975;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Fringillidae;;2021
PQ005976;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Haemorhous mexicanus;;2021
PQ005977;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005978;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005979;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10927;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005980;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005981;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005982;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005983;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005984;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005985;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005986;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10928;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005987;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10365;partial;USA: San Gabriel Valley, California;USA;CA;Passeriformes;;2021
PQ005988;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10926;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
PQ005989;West Nile virus;GenBank;;USA;2024-12-23;;Orthoflavivirus nilense;10929;partial;USA: San Gabriel Valley, California;USA;CA;Corvus;;2021
OZ201303;West Nile virus;GenBank;;USA;2024-11-07;EH43G-9-4-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-04
OZ201304;West Nile virus;GenBank;;USA;2024-11-07;MO52G-8-29-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201305;West Nile virus;GenBank;;USA;2024-11-07;D42G-9-5-Cxp-3;Orthoflavivirus nilense;11030;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-05
OZ201306;West Nile virus;GenBank;;USA;2024-11-07;WH104L-7-12-Cxs-4;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-12
OZ201307;West Nile virus;GenBank;;USA;2024-11-07;WE93L-8-29-Cme;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-08-29
OZ201308;West Nile virus;GenBank;;USA;2024-11-07;BB17G-7-18-Cxr-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-07-18
OZ201309;West Nile virus;GenBank;;USA;2024-11-07;SM62G-9-20-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-20
OZ201310;West Nile virus;GenBank;;USA;2024-11-07;WH104L-7-12-Cxs;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-12
OZ201311;West Nile virus;GenBank;;USA;2024-11-07;BP105G-9-4-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-04
OZ201312;West Nile virus;GenBank;;USA;2024-11-07;NH54L-7-12-Cxs;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-12
OZ201313;West Nile virus;GenBank;;USA;2024-11-07;BP105G-9-12-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-12
OZ201314;West Nile virus;GenBank;;USA;2024-11-07;BP105G-7-18-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-07-18
OZ201315;West Nile virus;GenBank;;USA;2024-11-07;GR48G-8-29-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201316;West Nile virus;GenBank;;USA;2024-11-07;BP40G-7-18-Cxr;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-07-18
OZ201317;West Nile virus;GenBank;;USA;2024-11-07;SM88G-8-9-Cxp;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-09
OZ201318;West Nile virus;GenBank;;USA;2024-11-07;D41G-9-20-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-20
OZ201319;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-13-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-08-13
OZ201320;West Nile virus;GenBank;;USA;2024-11-07;BP40L-7-18-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-18
OZ201321;West Nile virus;GenBank;;USA;2024-11-07;SM88G-8-9-Cxp-3;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-09
OZ201322;West Nile virus;GenBank;;USA;2024-11-07;BP40L-7-18-Cxs-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-18
OZ201323;West Nile virus;GenBank;;USA;2024-11-07;BP105L-9-21-Aal;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Aedes albopictus;;2016-09-21
OZ201324;West Nile virus;GenBank;;USA;2024-11-07;BP40L-7-18-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-18
OZ201325;West Nile virus;GenBank;;USA;2024-11-07;CS96G-8-29-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201326;West Nile virus;GenBank;;USA;2024-11-07;GR46G-9-4-Cxp-4;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-04
OZ201327;West Nile virus;GenBank;;USA;2024-11-07;D42G-8-30-Cxp-2;Orthoflavivirus nilense;11030;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201328;West Nile virus;GenBank;;USA;2024-11-07;NH54L-9-28-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-28
OZ201329;West Nile virus;GenBank;;USA;2024-11-07;WT68L-9-17-Cme;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-09-17
OZ201330;West Nile virus;GenBank;;USA;2024-11-07;EH43G-8-30-Cxp;Orthoflavivirus nilense;11030;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201331;West Nile virus;GenBank;;USA;2024-11-07;WH104G-9-6-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-09-06
OZ201332;West Nile virus;GenBank;;USA;2024-11-07;GU49G-8-30-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201333;West Nile virus;GenBank;;USA;2024-11-07;GU49G-8-10-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-10
OZ201334;West Nile virus;GenBank;;USA;2024-11-07;SH60G-8-6-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-06
OZ201335;West Nile virus;GenBank;;USA;2024-11-07;D41L-8-15-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-15
OZ201336;West Nile virus;GenBank;;USA;2024-11-07;BP105L-8-14-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-14
OZ201337;West Nile virus;GenBank;;USA;2024-11-07;MF83G-9-17-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-17
OZ201338;West Nile virus;GenBank;;USA;2024-11-07;WR91G-9-5-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2019-09-05
OZ201339;West Nile virus;GenBank;;USA;2024-11-07;BP39G-8-18-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-18
OZ201340;West Nile virus;GenBank;;USA;2024-11-07;OR59G-8-29-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201341;West Nile virus;GenBank;;USA;2024-11-07;WR91G-8-31-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-31
OZ201342;West Nile virus;GenBank;;USA;2024-11-07;D41G-7-11-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-11
OZ201343;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-3-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2017-08-03
OZ201344;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-8-Cxr;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-08-08
OZ201345;West Nile virus;GenBank;;USA;2024-11-07;GR46G-9-10-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-10
OZ201346;West Nile virus;GenBank;;USA;2024-11-07;D41G-8-8-Ota;Orthoflavivirus nilense;11031;partial;USA:Connecticut;USA;CT;Ochlerotatus taeniorhynchus;;2018-08-08
OZ201347;West Nile virus;GenBank;;USA;2024-11-07;BP39G-8-17-Cxp-2;Orthoflavivirus nilense;11023;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-17
OZ201348;West Nile virus;GenBank;;USA;2024-11-07;D42G-9-1-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-01
OZ201349;West Nile virus;GenBank;;USA;2024-11-07;BP105L-7-10-Cxs;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-10
OZ201350;West Nile virus;GenBank;;USA;2024-11-07;ST64L-7-9-Cxs-2;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex salinarius;;2018-07-09
OZ201351;West Nile virus;GenBank;;USA;2024-11-07;HA78G-9-5-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-05
OZ201352;West Nile virus;GenBank;;USA;2024-11-07;EH43L-9-3-Cxs-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2019-09-03
OZ201353;West Nile virus;GenBank;;USA;2024-11-07;SM62G-9-11-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-11
OZ201354;West Nile virus;GenBank;;USA;2024-11-07;NEB84G-9-20-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-09-20
OZ201355;West Nile virus;GenBank;;USA;2024-11-07;OR59G-8-9-Cxp;Orthoflavivirus nilense;11030;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-09
OZ201356;West Nile virus;GenBank;;USA;2024-11-07;WR91G-9-7-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-07
OZ201357;West Nile virus;GenBank;;USA;2024-11-07;NC53G-6-19-Cxr;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-06-19
OZ201358;West Nile virus;GenBank;;USA;2024-11-07;NG85G-9-5-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2019-09-05
OZ201359;West Nile virus;GenBank;;USA;2024-11-07;SW86L-7-12-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-12
OZ201360;West Nile virus;GenBank;;USA;2024-11-07;WH104G-7-18-Cxp-2;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-18
OZ201361;West Nile virus;GenBank;;USA;2024-11-07;WH104G-7-18-Cxp-3;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-18
OZ201362;West Nile virus;GenBank;;USA;2024-11-07;E44L-6-18-Cxr-3;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-06-18
OZ201363;West Nile virus;GenBank;;USA;2024-11-07;NH54L-9-12-Cxp;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-09-12
OZ201364;West Nile virus;GenBank;;USA;2024-11-07;WE93G-8-14-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-14
OZ201365;West Nile virus;GenBank;;USA;2024-11-07;WE93G-9-3-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-03
OZ201366;West Nile virus;GenBank;;USA;2024-11-07;FF45G-8-16-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-16
OZ201367;West Nile virus;GenBank;;USA;2024-11-07;EH43G-8-5-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-08-05
OZ201368;West Nile virus;GenBank;;USA;2024-11-07;SM88G-8-14-Cxp-2;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-14
OZ201369;West Nile virus;GenBank;;USA;2024-11-07;SM88G-9-7-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-07
OZ201370;West Nile virus;GenBank;;USA;2024-11-07;WG89G-9-21-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-09-21
OZ201371;West Nile virus;GenBank;;USA;2024-11-07;SM88G-8-16-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-16
OZ201372;West Nile virus;GenBank;;USA;2024-11-07;SM63L-9-14-Cme;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2017-09-14
OZ201373;West Nile virus;GenBank;;USA;2024-11-07;D41G-8-30-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201374;West Nile virus;GenBank;;USA;2024-11-07;GR46L-8-13-Cxp;Orthoflavivirus nilense;11026;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-13
OZ201375;West Nile virus;GenBank;;USA;2024-11-07;EH43L-8-1-Cxs-6;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2019-08-01
OZ201376;West Nile virus;GenBank;;USA;2024-11-07;GR46G-10-3-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-10-03
OZ201377;West Nile virus;GenBank;;USA;2024-11-07;WE93G-8-29-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2019-08-29
OZ201378;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-30-Cxp-6;Orthoflavivirus nilense;11030;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201379;West Nile virus;GenBank;;USA;2024-11-07;SM88L-8-13-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-08-13
OZ201380;West Nile virus;GenBank;;USA;2024-11-07;D41G-8-22-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-22
OZ201381;West Nile virus;GenBank;;USA;2024-11-07;WH104G-8-10-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2016-08-10
OZ201382;West Nile virus;GenBank;;USA;2024-11-07;NH54G-9-22-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-22
OZ201383;West Nile virus;GenBank;;USA;2024-11-07;D41L-8-31-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2017-08-31
OZ201384;West Nile virus;GenBank;;USA;2024-11-07;MC80G-8-13-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-08-13
OZ201385;West Nile virus;GenBank;;USA;2024-11-07;NB55L-7-31-Cme;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2017-07-31
OZ201386;West Nile virus;GenBank;;USA;2024-11-07;GR46G-8-8-Cxp-3;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-08-08
OZ201387;West Nile virus;GenBank;;USA;2024-11-07;NH54G-8-31-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2017-08-31
OZ201388;West Nile virus;GenBank;;USA;2024-11-07;FM18L-8-15-Cxs;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex salinarius;;2017-08-15
OZ201389;West Nile virus;GenBank;;USA;2024-11-07;MC80L-9-22-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-22
OZ201390;West Nile virus;GenBank;;USA;2024-11-07;HA78L-9-22-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-22
OZ201391;West Nile virus;GenBank;;USA;2024-11-07;WH104B-7-12-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-12
OZ201392;West Nile virus;GenBank;;USA;2024-11-07;FF45G-8-30-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-30
OZ201393;West Nile virus;GenBank;;USA;2024-11-07;NEB84G-9-22-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-22
OZ201394;West Nile virus;GenBank;;USA;2024-11-07;SW86L-8-29-Cme;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-08-29
OZ201395;West Nile virus;GenBank;;USA;2024-11-07;D42G-8-16-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-16
OZ201396;West Nile virus;GenBank;;USA;2024-11-07;NH54L-8-16-Cxp;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-16
OZ201397;West Nile virus;GenBank;;USA;2024-11-07;NH54L-8-31-Cxs;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex salinarius;;2017-08-31
OZ201398;West Nile virus;GenBank;;USA;2024-11-07;ST64G-9-19-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-19
OZ201399;West Nile virus;GenBank;;USA;2024-11-07;MO52L-9-26-Cme-5;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-09-26
OZ201400;West Nile virus;GenBank;;USA;2024-11-07;BP105L-8-9-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-09
OZ201401;West Nile virus;GenBank;;USA;2024-11-07;MC80G-8-29-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201402;West Nile virus;GenBank;;USA;2024-11-07;GR46G-7-18-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-18
OZ201403;West Nile virus;GenBank;;USA;2024-11-07;WH104G-7-12-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-12
OZ201404;West Nile virus;GenBank;;USA;2024-11-07;GR46B-7-18-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-07-18
OZ201405;West Nile virus;GenBank;;USA;2024-11-07;WO73L-9-5-Aci;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Aedes cinereus;;2018-09-05
OZ201406;West Nile virus;GenBank;;USA;2024-11-07;ME81G-9-20-Cxp;Orthoflavivirus nilense;11013;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-09-20
OZ201407;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-15-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-15
OZ201408;West Nile virus;GenBank;;USA;2024-11-07;NH54G-9-21-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-09-21
